plate	well	y0	mumax	r2	auc	max_od	min_od
A8_1	H5	0.027127646503922864	0.19219079720104967	0.9999482898048435	14.331256194444444	0.373	0.0916
A8_1	H6	0.02459736063419642	0.19685860601259494	0.9999560619784883	13.967503666666666	0.366	0.0866
A8_1	H7	0.018396513197286992	0.3580958168796092	0.996266032266214	9.5288565	0.3382	0.087
A8_1	H8	0.008034623938997166	0.34362939741724363	0.9996282964277572	14.656943055555555	0.4436	0.088
A8_1	H9	0.02647882258855077	0.18397791504059438	0.9999674084448649	12.776393555555556	0.327	0.087
A8_3	A1	0.025091932116166747	0.20282904524206236	0.999811150247251	15.511825388888889	0.4044	0.085
A8_3	A10	0.08145904405642461	0.002621885852178142	0.9354771459026273	4.051570416666667	0.085	0.084
A8_3	A11	0.03151834122776659	0.1791956330002748	0.9999582117467675	12.534726694444444	0.3154	0.08574999999999999
A8_3	A12	0.08147798000003667	0.004653156711669177	0.9195499828119986	4.049109388888889	0.08533333333333333	0.084
A8_3	A2	0.04259546295294899	0.2628306310223101	0.999888507513167	25.012435694444445	0.6908	0.093
A8_3	A3	0.02322239056517327	0.3255581758302038	0.9996709095532055	16.83171311111111	0.4111999999999999	0.086
A8_3	A4	0.024689847695312385	0.21310090018897146	0.9998090778077172	16.332841444444444	0.424	0.085
A8_3	A5	0.0280791521445879	0.17931697002550712	0.9999248525555087	14.558479694444445	0.393	0.086
A8_3	A6	0.02846613490065023	0.18791893526713144	0.9999619876368759	14.010094777777777	0.3608	0.086
A8_3	A7	0.01940029588849399	0.31136746106266705	0.9996984792753836	18.311928694444443	0.4842	0.0852
A8_3	A8	0.02880819188699781	0.1749098438358027	0.9999183148518455	14.07907175	0.372	0.0844
A8_3	A9	0.03704906620574525	0.17457622020693164	0.9999697233955772	12.475518777777777	0.311	0.086
A8_3	B1	0.025391893903930433	0.22946651166240317	0.9999574632359719	15.88329963888889	0.4026	0.089
A8_3	B10	0.024708194121685813	0.32226764485256826	0.9996434466247348	16.542039777777777	0.4046	0.085
A8_3	B11	0.0760003390600336	0.00389570580629746	0.9389843698303535	4.062959305555556	0.08549999999999999	0.084
A8_3	B12	0.028208327218615815	0.17768258872386558	0.9999624036377088	12.2438635	0.312	0.0854
A8_3	B2	0.02273465198367997	0.3315246434317981	0.9996855481325854	16.81848061111111	0.4182	0.0844
A8_3	B3	0.023764232003220462	0.32710662956085873	0.9996623890932915	16.75037272222222	0.4086	0.08466666666666667
