measure_env	evolution_env	replicate	transfer	od600
bact_pred_strep	bact_strep	F	2	0.046
bact_pred_strep	bact_pred_strep	A	2	0.069
bact_pred_strep	bact_pred_strep	B	2	0.051
bact_pred_strep	bact_pred_strep	C	2	0.052
bact_pred_strep	bact_pred_strep	D	2	0.049
bact_pred_strep	bact_pred_strep	E	2	0.084
bact_pred_strep	bact_pred_strep	F	2	0.059
bact_pred_strep	anc	A	2	0.048
bact_pred_strep	anc	B	2	0.063
bact_pred_strep	anc	C	2	0.067
bact_pred_strep	anc	D	2	0.057
bact_pred_strep	anc	E	2	0.082
bact_pred_strep	anc	F	2	0.054
bact	bact	A	3	0.116
bact	bact	B	3	0.098
bact	bact	C	3	0.097
bact	bact	D	3	0.123
bact	bact	E	3	0.116
bact	bact	F	3	0.12
bact	bact_pred	A	3	0.082
bact	bact_pred	B	3	0.125
bact	bact_pred	C	3	0.121
bact	bact_pred	D	3	0.185
bact	bact_pred	E	3	0.126
bact	bact_pred	F	3	0.119
bact	bact_strep	A	3	0.1
bact	bact_strep	B	3	0.092
bact	bact_strep	C	3	0.088
bact	bact_strep	D	3	0.095
bact	bact_strep	E	3	0.089
bact	bact_strep	F	3	0.089
bact	bact_pred_strep	A	3	0.094
bact	bact_pred_strep	B	3	0.098
bact	bact_pred_strep	C	3	0.1
bact	bact_pred_strep	D	3	0.107
bact	bact_pred_strep	E	3	0.112
bact	bact_pred_strep	F	3	0.104
bact	anc	A	3	0.105
bact	anc	B	3	0.1
bact	anc	C	3	0.091
bact	anc	D	3	0.087
bact	anc	E	3	0.098
bact	anc	F	3	0.098
bact_pred	bact	A	3	0.1
bact_pred	bact	B	3	0.154
bact_pred	bact	C	3	0.128
bact_pred	bact	D	3	0.203
bact_pred	bact	E	3	0.192
bact_pred	bact	F	3	0.123
bact_pred	bact_pred	A	3	0.204
bact_pred	bact_pred	B	3	0.086
bact_pred	bact_pred	C	3	0.147
bact_pred	bact_pred	D	3	0.226
bact_pred	bact_pred	E	3	0.177
bact_pred	bact_pred	F	3	0.144
bact_pred	bact_strep	A	3	0.113
bact_pred	bact_strep	B	3	0.074
bact_pred	bact_strep	C	3	0.093
bact_pred	bact_strep	D	3	0.057
bact_pred	bact_strep	E	3	0.049
bact_pred	bact_strep	F	3	0.158
bact_pred	bact_pred_strep	A	3	0.187
bact_pred	bact_pred_strep	B	3	0.103
bact_pred	bact_pred_strep	C	3	0.049
bact_pred	bact_pred_strep	D	3	0.167
bact_pred	bact_pred_strep	E	3	0.037
bact_pred	bact_pred_strep	F	3	0.147
bact_pred	anc	A	3	0.196
bact_pred	anc	B	3	0.128
bact_pred	anc	C	3	0.12
bact_pred	anc	D	3	0.136
bact_pred	anc	E	3	0.189
bact_pred	anc	F	3	0.162
bact_strep	bact	A	3	0.093
bact_strep	bact	B	3	0.097
bact_strep	bact	C	3	0.098
bact_strep	bact	D	3	0.098
bact_strep	bact	E	3	0.091
bact_strep	bact	F	3	0.095
bact_strep	bact_pred	A	3	0.095
bact_strep	bact_pred	B	3	0.089
bact_strep	bact_pred	C	3	0.103
bact_strep	bact_pred	D	3	0.092
bact_strep	bact_pred	E	3	0.088
bact_strep	bact_pred	F	3	0.096
bact_strep	bact_strep	A	3	0.103
bact_strep	bact_strep	B	3	0.102
bact_strep	bact_strep	C	3	0.112
bact_strep	bact_strep	D	3	0.096
bact_strep	bact_strep	E	3	0.101
bact_strep	bact_strep	F	3	0.105
bact_strep	bact_pred_strep	A	3	0.094
bact_strep	bact_pred_strep	B	3	0.089
bact_strep	bact_pred_strep	C	3	0.103
bact_strep	bact_pred_strep	D	3	0.12
bact_strep	bact_pred_strep	E	3	0.088
bact_strep	bact_pred_strep	F	3	0.09
bact_strep	anc	A	3	0.093
bact_strep	anc	B	3	0.105
bact_strep	anc	C	3	0.101
bact_strep	anc	D	3	0.095
bact_strep	anc	E	3	0.098
bact_strep	anc	F	3	0.098
bact_pred_strep	bact	A	3	0.059
bact_pred_strep	bact	B	3	0.085
bact_pred_strep	bact	C	3	0.061
bact_pred_strep	bact	D	3	0.098
bact_pred_strep	bact	E	3	0.084
bact_pred_strep	bact	F	3	0.053
bact_pred_strep	bact_pred	A	3	0.054
bact_pred_strep	bact_pred	B	3	0.053
bact_pred_strep	bact_pred	C	3	0.052
bact_pred_strep	bact_pred	D	3	0.054
bact_pred_strep	bact_pred	E	3	0.048
bact_pred_strep	bact_pred	F	3	0.05
bact_pred_strep	bact_strep	A	3	0.089
bact_pred_strep	bact_strep	B	3	0.079
bact_pred_strep	bact_strep	C	3	0.087
bact_pred_strep	bact_strep	D	3	0.066
bact_pred_strep	bact_strep	E	3	0.049
bact_pred_strep	bact_strep	F	3	0.05
bact_pred_strep	bact_pred_strep	A	3	0.105
bact_pred_strep	bact_pred_strep	B	3	0.054
bact_pred_strep	bact_pred_strep	C	3	0.056
bact_pred_strep	bact_pred_strep	D	3	0.117
bact_pred_strep	bact_pred_strep	E	3	0.071
bact_pred_strep	bact_pred_strep	F	3	0.088
bact_pred_strep	anc	A	3	0.092
bact_pred_strep	anc	B	3	0.061
bact_pred_strep	anc	C	3	0.073
bact_pred_strep	anc	D	3	0.073
bact_pred_strep	anc	E	3	0.048
bact_pred_strep	anc	F	3	0.084
bact	bact	A	4	0.126
bact	bact	B	4	0.16
bact	bact	C	4	0.14
bact	bact	D	4	0.166
bact	bact	E	4	0.162
bact	bact	F	4	0.148
bact	bact_pred	A	4	0.12
bact	bact_pred	B	4	0.121
bact	bact_pred	C	4	0.128
bact	bact_pred	D	4	0.168
bact	bact_pred	E	4	0.151
bact	bact_pred	F	4	0.13
bact	bact_strep	A	4	0.135
bact	bact_strep	B	4	0.143
bact	bact_strep	C	4	0.127
bact	bact_strep	D	4	0.142
bact	bact_strep	E	4	0.129
bact	bact_strep	F	4	0.114
bact	bact_pred_strep	A	4	0.106
bact	bact_pred_strep	B	4	0.133
bact	bact_pred_strep	C	4	0.154
bact	bact_pred_strep	D	4	0.159
bact	bact_pred_strep	E	4	0.152
bact	bact_pred_strep	F	4	0.146
bact	anc	A	4	0.119
bact	anc	B	4	0.119
bact	anc	C	4	0.106
bact	anc	D	4	0.114
bact	anc	E	4	0.119
bact	anc	F	4	0.11
bact_pred	bact	A	4	0.084
bact_pred	bact	B	4	0.079
bact_pred	bact	C	4	0.116
bact_pred	bact	D	4	0.19
bact_pred	bact	E	4	0.192
bact_pred	bact	F	4	0.063
bact_pred	bact_pred	A	4	0.084
bact_pred	bact_pred	B	4	0.088
bact_pred	bact_pred	C	4	0.115
bact_pred	bact_pred	D	4	0.269
bact_pred	bact_pred	E	4	0.115
bact_pred	bact_pred	F	4	0.067
bact_pred	bact_strep	A	4	0.097
bact_pred	bact_strep	B	4	0.098
bact_pred	bact_strep	C	4	0.091
bact_pred	bact_strep	D	4	0.108
bact_pred	bact_strep	E	4	0.097
bact_pred	bact_strep	F	4	0.129
bact_pred	bact_pred_strep	A	4	0.066
bact_pred	bact_pred_strep	B	4	0.04
bact_pred	bact_pred_strep	C	4	0.088
bact_pred	bact_pred_strep	D	4	0.145
bact_pred	bact_pred_strep	E	4	0.152
bact_pred	bact_pred_strep	F	4	0.141
bact_pred	anc	A	4	0.078
bact_pred	anc	B	4	0.093
bact_pred	anc	C	4	0.103
bact_pred	anc	D	4	0.104
bact_pred	anc	E	4	0.146
bact_pred	anc	F	4	0.269
bact_strep	bact	A	4	0.092
bact_strep	bact	B	4	0.096
bact_strep	bact	C	4	0.096
bact_strep	bact	D	4	0.093
bact_strep	bact	E	4	0.091
bact_strep	bact	F	4	0.096
bact_strep	bact_pred	A	4	0.092
bact_strep	bact_pred	B	4	0.087
bact_strep	bact_pred	C	4	0.089
bact_strep	bact_pred	D	4	0.091
bact_strep	bact_pred	E	4	0.096
bact_strep	bact_pred	F	4	0.091
bact_strep	bact_strep	A	4	0.111
bact_strep	bact_strep	B	4	0.101
bact_strep	bact_strep	C	4	0.101
bact_strep	bact_strep	D	4	0.1
bact_strep	bact_strep	E	4	0.102
bact_strep	bact_strep	F	4	0.097
bact_strep	bact_pred_strep	A	4	0.092
bact_strep	bact_pred_strep	B	4	0.093
bact_strep	bact_pred_strep	C	4	0.113
bact_strep	bact_pred_strep	D	4	0.121
bact_strep	bact_pred_strep	E	4	0.104
bact_strep	bact_pred_strep	F	4	0.11
bact_strep	anc	A	4	0.1
bact_strep	anc	B	4	0.1
bact_strep	anc	C	4	0.105
bact_strep	anc	D	4	0.101
bact_strep	anc	E	4	0.104
bact_strep	anc	F	4	0.103
bact_pred_strep	bact	A	4	0.07
bact_pred_strep	bact	B	4	0.099
bact_pred_strep	bact	C	4	0.098
bact_pred_strep	bact	D	4	0.109
bact_pred_strep	bact	E	4	0.083
bact_pred_strep	bact	F	4	0.095
bact_pred_strep	bact_pred	A	4	0.07
bact_pred_strep	bact_pred	B	4	0.052
bact_pred_strep	bact_pred	C	4	0.056
bact_pred_strep	bact_pred	D	4	0.06
bact_pred_strep	bact_pred	E	4	0.061
bact_pred_strep	bact_pred	F	4	0.091
bact_pred_strep	bact_strep	A	4	0.097
bact_pred_strep	bact_strep	B	4	0.066
bact_pred_strep	bact_strep	C	4	0.072
bact_pred_strep	bact_strep	D	4	0.08
bact_pred_strep	bact_strep	E	4	0.068
bact_pred_strep	bact_strep	F	4	0.06
bact_pred_strep	bact_pred_strep	A	4	0.091
bact_pred_strep	bact_pred_strep	B	4	0.058
bact_pred_strep	bact_pred_strep	C	4	0.051
bact_pred_strep	bact_pred_strep	D	4	0.14
bact_pred_strep	bact_pred_strep	E	4	0.073
bact_pred_strep	bact_pred_strep	F	4	0.163
bact_pred_strep	anc	A	4	0.049
bact_pred_strep	anc	B	4	0.06
bact_pred_strep	anc	C	4	0.068
bact_pred_strep	anc	D	4	0.076
bact_pred_strep	anc	E	4	0.058
bact_pred_strep	anc	F	4	0.1
bact	bact	A	5	0.102
bact	bact	B	5	0.11
bact	bact	C	5	0.099
bact	bact	D	5	0.106
bact	bact	E	5	0.105
bact	bact	F	5	0.105
bact	bact_pred	A	5	0.098
bact	bact_pred	B	5	0.099
bact	bact_pred	C	5	0.105
bact	bact_pred	D	5	0.105
bact	bact_pred	E	5	0.109
bact	bact_pred	F	5	0.112
bact	bact_strep	A	5	0.107
bact	bact_strep	B	5	0.108
bact	bact_strep	C	5	0.095
bact	bact_strep	D	5	0.102
bact	bact_strep	E	5	0.096
bact	bact_strep	F	5	0.099
bact	bact_pred_strep	A	5	0.099
bact	bact_pred_strep	B	5	0.108
bact	bact_pred_strep	C	5	0.095
bact	bact_pred_strep	D	5	0.11
bact	bact_pred_strep	E	5	0.1
bact	bact_pred_strep	F	5	0.116
bact	anc	A	5	0.099
bact	anc	B	5	0.095
bact	anc	C	5	0.087
bact	anc	D	5	0.089
bact	anc	E	5	0.092
bact	anc	F	5	0.086
bact_pred	bact	A	5	0.069
bact_pred	bact	B	5	0.104
bact_pred	bact	C	5	0.071
bact_pred	bact	D	5	0.122
bact_pred	bact	E	5	0.13
bact_pred	bact	F	5	0.118
bact_pred	bact_pred	A	5	0.081
bact_pred	bact_pred	B	5	0.074
bact_pred	bact_pred	C	5	0.16
bact_pred	bact_pred	D	5	0.185
bact_pred	bact_pred	E	5	0.195
bact_pred	bact_pred	F	5	0.16
bact_pred	bact_strep	A	5	0.095
bact_pred	bact_strep	B	5	0.095
bact_pred	bact_strep	C	5	0.115
bact_pred	bact_strep	D	5	0.167
bact_pred	bact_strep	E	5	0.085
bact_pred	bact_strep	F	5	0.058
bact_pred	bact_pred_strep	A	5	0.11
bact_pred	bact_pred_strep	B	5	0.12
bact_pred	bact_pred_strep	C	5	0.143
bact_pred	bact_pred_strep	D	5	0.2
bact_pred	bact_pred_strep	E	5	0.135
bact_pred	bact_pred_strep	F	5	0.09
bact_pred	anc	A	5	0.112
bact_pred	anc	B	5	0.107
bact_pred	anc	C	5	0.167
bact_pred	anc	D	5	0.135
bact_pred	anc	E	5	0.125
bact_pred	anc	F	5	0.109
bact_strep	bact	A	5	0.108
bact_strep	bact	B	5	0.106
bact_strep	bact	C	5	0.106
bact_strep	bact	D	5	0.107
bact_strep	bact	E	5	0.104
bact_strep	bact	F	5	0.107
bact_strep	bact_pred	A	5	0.099
bact_strep	bact_pred	B	5	0.095
bact_strep	bact_pred	C	5	0.102
bact_strep	bact_pred	D	5	0.11
bact_strep	bact_pred	E	5	0.107
bact_strep	bact_pred	F	5	0.095
bact_strep	bact_strep	A	5	0.118
bact_strep	bact_strep	B	5	0.112
bact_strep	bact_strep	C	5	0.105
bact_strep	bact_strep	D	5	0.105
bact_strep	bact_strep	E	5	0.109
bact_strep	bact_strep	F	5	0.104
bact_strep	bact_pred_strep	A	5	0.102
bact_strep	bact_pred_strep	B	5	0.091
bact_strep	bact_pred_strep	C	5	0.114
bact_strep	bact_pred_strep	D	5	0.122
bact_strep	bact_pred_strep	E	5	0.1
bact_strep	bact_pred_strep	F	5	0.099
bact_strep	anc	A	5	0.103
bact_strep	anc	B	5	0.103
bact_strep	anc	C	5	0.104
