measure_env	evolution_env	replicate	transfer	ciliate_per_ml
bact_pred	bact_pred_strep	D	7	13338
bact_pred	bact_pred_strep	E	7	18046
bact_pred	bact_pred_strep	F	7	14907
bact_pred_strep	anc	A	7	35699
bact_pred_strep	anc	B	7	33345
bact_pred_strep	anc	C	7	5492
bact_pred_strep	anc	D	7	22753
bact_pred_strep	anc	E	7	28638
bact_pred_strep	anc	F	7	0
bact_pred_strep	bact	A	7	39230
bact_pred_strep	bact	B	7	30207
bact_pred_strep	bact	C	7	31776
bact_pred_strep	bact	D	7	22753
bact_pred_strep	bact	E	7	37661
bact_pred_strep	bact	F	7	24715
bact_pred_strep	bact_strep	A	7	33738
bact_pred_strep	bact_strep	B	7	36091
bact_pred_strep	bact_strep	C	7	19223
bact_pred_strep	bact_strep	D	7	19223
bact_pred_strep	bact_strep	E	7	41976
bact_pred_strep	bact_strep	F	7	23538
bact_pred_strep	bact_pred	A	7	9023
bact_pred_strep	bact_pred	B	7	27069
bact_pred_strep	bact_pred	C	7	20007
bact_pred_strep	bact_pred	D	7	28638
bact_pred_strep	bact_pred	E	7	24323
bact_pred_strep	bact_pred	F	7	13338
bact_pred_strep	bact_pred_strep	A	7	30599
bact_pred_strep	bact_pred_strep	B	7	16084
bact_pred_strep	bact_pred_strep	C	7	26284
bact_pred_strep	bact_pred_strep	D	7	21184
bact_pred_strep	bact_pred_strep	E	7	16477
bact_pred_strep	bact_pred_strep	F	7	14907
bact_pred	anc	A	8	16477
bact_pred	anc	B	8	13338
bact_pred	anc	C	8	8238
bact_pred	anc	D	8	10200
bact_pred	anc	E	8	14907
bact_pred	anc	F	8	19223
bact_pred	bact	A	8	23146
bact_pred	bact	B	8	25892
bact_pred	bact	C	8	23146
bact_pred	bact	D	8	16084
bact_pred	bact	E	8	15300
bact_pred	bact	F	8	18438
bact_pred	bact_strep	A	8	8238
bact_pred	bact_strep	B	8	13730
bact_pred	bact_strep	C	8	15692
bact_pred	bact_strep	D	8	12946
bact_pred	bact_strep	E	8	7846
bact_pred	bact_strep	F	8	9807
bact_pred	bact_pred	A	8	5492
bact_pred	bact_pred	B	8	5884
bact_pred	bact_pred	C	8	5100
bact_pred	bact_pred	D	8	6277
bact_pred	bact_pred	E	8	7454
bact_pred	bact_pred	F	8	8238
bact_pred	bact_pred_strep	A	8	15300
