measure_env	evolution_env	replicate	transfer	od600	ciliate_per_ml
bact_pred_strep	bact_pred	E	12	0.074	3531
bact_pred_strep	bact_pred	F	12	0.08	7846
bact_pred_strep	bact_strep	A	12	0.063	9023
bact_pred_strep	bact_strep	B	12	0.067	9023
bact_pred_strep	bact_strep	C	12	0.081	9807
bact_pred_strep	bact_strep	D	12	0.076	6669
bact_pred_strep	bact_strep	E	12	0.056	6669
bact_pred_strep	bact_strep	F	12	0.061	10200
bact_pred_strep	bact_pred_strep	A	12	0.062	5884
bact_pred_strep	bact_pred_strep	B	12	0.056	5100
bact_pred_strep	bact_pred_strep	C	12	0.069	11377
bact_pred_strep	bact_pred_strep	D	12	0.096	4315
bact_pred_strep	bact_pred_strep	E	12	0.119	7061
bact_pred_strep	bact_pred_strep	F	12	0.091	7061
bact_pred_strep	anc	A	12	0.096	0
bact_pred_strep	anc	B	12	0.059	4708
bact_pred_strep	anc	C	12	0.086	8238
bact_pred_strep	anc	D	12	0.069	4708
bact_pred_strep	anc	E	12	0.084	9807
bact_pred_strep	anc	F	12	0.103	0
