plate	well	y0	mumax	r2	auc	max_od	min_od
A7_1	H7	0.03024883629910222	0.18039516689631427	0.9999719374360203	12.216507388888889	0.3082	0.08420000000000001
A7_1	H8	0.023412982748827544	0.3353642424389516	0.9996002246886623	17.31536638888889	0.4218	0.084
A7_1	H9	0.021599414188269214	0.22525465389076904	0.9997699411544894	14.731943083333334	0.3805	0.084
A7_2	A1	0.01715175777262389	0.15053468772986248	0.9951705768301666	6.6395658611111115	0.2528	0.08679999999999999
A7_2	A10	0.024398557510204023	0.20995903173700145	0.9988447148677049	8.812308777777778	0.258	0.08633333333333333
A7_2	A11	0.006335007944458919	0.24526965256929797	0.9887129686511495	7.120222249999999	0.4286	0.08633333333333333
A7_2	A12	0.008505719358135058	0.17913387631462974	0.9746941743839924	5.246237305555556	0.16340000000000002	0.087
A7_2	A2	0.015867106644422885	0.14827603066852663	0.9968908198728168	6.787711111111111	0.2536	0.08566666666666667
A7_2	A3	0.0068977166480790365	0.19918521725015426	0.9920832363468485	6.443193111111111	0.2548	0.08639999999999999
A7_2	A4	0.020039435720966794	0.14530752794946014	0.9954567230296131	7.602831888888889	0.315	0.08739999999999999
A7_2	A5	0.04052734007540428	0.11362070454366803	0.9934067430594037	5.892648305555555	0.1628	0.08666666666666666
A7_2	A6	0.017724131109544426	0.1739252162363099	0.9917113251531054	5.934644027777778	0.197	0.08766666666666666
A7_2	A7	0.025209951710418583	0.2396278142602668	0.9997848092889069	13.403649722222223	0.335	0.086
A7_2	A8	0.022567183984238116	0.1401100018515987	0.9938077837116094	5.788225861111111	0.1776	0.08533333333333333
A7_2	A9	0.036634876719285905	0.07837208083020321	0.9831980074766546	5.181143388888889	0.1388	0.08566666666666667
A7_2	B1	0.02053072525696521	0.22878604837726083	0.9997478686420463	13.453475944444445	0.3436	0.089
A7_2	B10	0.07265582868861739	0.02688497529197805	0.9968410501101218	4.864786083333334	0.111	0.08639999999999999
A7_2	B11	0.026293453235091316	0.2052278683359641	0.9995415944189943	11.081741166666667	0.2766	0.086
A7_2	B12	0.02492292613737196	0.10356073801873752	0.9771886809784115	5.092133444444444	0.16	0.085
